prompt,title,context,question,answer,pred_answer,score
"Given a title, a context paragraph, and a question, provide the answer that can be directly inferred from the context. If the context does not contain a clear answer, output exactly No answer. Do not add any explanation, commentary, or additional text. Output only the answer.",Steam_engine,"The Rankine cycle and most practical steam engines have a water pump to recycle or top up the boiler water, so that they may be run continuously. Utility and industrial boilers commonly use multi-stage centrifugal pumps; however, other types are used. Another means of supplying lower-pressure boiler feed water is an injector, which uses a steam jet usually supplied from the boiler. Injectors became popular in the 1850s but are no longer widely used, except in applications such as steam locomotives.",What device is used to recycle the boiler water in most steam engines?,water pump,"{""answer"": ""a water pump""}",0.8642065525054932
"Given a title, a context paragraph, and a question, provide the answer that can be directly inferred from the context. If the context does not contain a clear answer, output exactly No answer. Do not add any explanation, commentary, or additional text. Output only the answer.",French_and_Indian_War,"Britain gained control of French Canada and Acadia, colonies containing approximately 80,000 primarily French-speaking Roman Catholic residents. The deportation of Acadians beginning in 1755 resulted in land made available to migrants from Europe and the colonies further south. The British resettled many Acadians throughout its North American provinces, but many went to France, and some went to New Orleans, which they had expected to remain French. Some were sent to colonize places as diverse as French Guiana and the Falkland Islands; these latter efforts were unsuccessful. Others migrated to places like Saint-Domingue, and fled to New Orleans after the Haitian Revolution. The Louisiana population contributed to the founding of the modern Cajun population. (The French word ""Acadien"" evolved to ""Cadien"", then to ""Cajun"".)",How many French colonists were lost by British?,No answer,"{""answer"": ""80,000""}",0.1732375174760818
"Given a title, a context paragraph, and a question, provide the answer that can be directly inferred from the context. If the context does not contain a clear answer, output exactly No answer. Do not add any explanation, commentary, or additional text. Output only the answer.",Geology,"In the 1960s, a series of discoveries, the most important of which was seafloor spreading, showed that the Earth's lithosphere, which includes the crust and rigid uppermost portion of the upper mantle, is separated into a number of tectonic plates that move across the plastically deforming, solid, upper mantle, which is called the asthenosphere. There is an intimate coupling between the movement of the plates on the surface and the convection of the mantle: oceanic plate motions and mantle convection currents always move in the same direction, because the oceanic lithosphere is the rigid upper thermal boundary layer of the convecting mantle. This coupling between rigid plates moving on the surface of the Earth and the convecting mantle is called plate tectonics.",What are the lithosphere and asthenosphere called when coupled together?,No answer,"{""answer"": ""plate tectonics""}",0.0872761011123657
"Given a title, a context paragraph, and a question, provide the answer that can be directly inferred from the context. If the context does not contain a clear answer, output exactly No answer. Do not add any explanation, commentary, or additional text. Output only the answer.",Immune_system,"The adaptive immune system evolved in early vertebrates and allows for a stronger immune response as well as immunological memory, where each pathogen is ""remembered"" by a signature antigen. The adaptive immune response is antigen-specific and requires the recognition of specific ""non-self"" antigens during a process called antigen presentation. Antigen specificity allows for the generation of responses that are tailored to specific pathogens or pathogen-infected cells. The ability to mount these tailored responses is maintained in the body by ""memory cells"". Should a pathogen infect the body more than once, these specific memory cells are used to quickly eliminate it.",What immune response is not antigen-specific?,No answer,"{""answer"": ""No answer""}",1.0000001192092896
"Given a title, a context paragraph, and a question, provide the answer that can be directly inferred from the context. If the context does not contain a clear answer, output exactly No answer. Do not add any explanation, commentary, or additional text. Output only the answer.",Pharmacy,"This shift has already commenced in some countries; for instance, pharmacists in Australia receive remuneration from the Australian Government for conducting comprehensive Home Medicines Reviews. In Canada, pharmacists in certain provinces have limited prescribing rights (as in Alberta and British Columbia) or are remunerated by their provincial government for expanded services such as medications reviews (Medschecks in Ontario). In the United Kingdom, pharmacists who undertake additional training are obtaining prescribing rights and this is because of pharmacy education. They are also being paid for by the government for medicine use reviews. In Scotland the pharmacist can write prescriptions for Scottish registered patients of their regular medications, for the majority of drugs, except for controlled drugs, when the patient is unable to see their doctor, as could happen if they are away from home or the doctor is unavailable. In the United States, pharmaceutical care or clinical pharmacy has had an evolving influence on the practice of pharmacy. Moreover, the Doctor of Pharmacy (Pharm. D.) degree is now required before entering practice and some pharmacists now complete one or two years of residency or fellowship training following graduation. In addition, consultant pharmacists, who traditionally operated primarily in nursing homes are now expanding into direct consultation with patients, under the banner of ""senior care pharmacy.""",Who can't pay Australian pharmacists for doing Home Medicines Reviews?,No answer,"{""answer"": ""No answer""}",1.0000001192092896
"Given a title, a context paragraph, and a question, provide the answer that can be directly inferred from the context. If the context does not contain a clear answer, output exactly No answer. Do not add any explanation, commentary, or additional text. Output only the answer.",Warsaw,"As interesting examples of expositions the most notable are: the world's first Museum of Posters boasting one of the largest collections of art posters in the world, Museum of Hunting and Riding and the Railway Museum. From among Warsaw's 60 museums, the most prestigious ones are National Museum with a collection of works whose origin ranges in time from antiquity till the present epoch as well as one of the best collections of paintings in the country including some paintings from Adolf Hitler's private collection, and Museum of the Polish Army whose set portrays the history of arms.",What does the Museum of the Riding Army portray the history of?,No answer,"{""answer"": ""arms""}",0.1887535750865936
"Given a title, a context paragraph, and a question, provide the answer that can be directly inferred from the context. If the context does not contain a clear answer, output exactly No answer. Do not add any explanation, commentary, or additional text. Output only the answer.",Warsaw,"There are also many places commemorating the heroic history of Warsaw. Pawiak, an infamous German Gestapo prison now occupied by a Mausoleum of Memory of Martyrdom and the museum, is only the beginning of a walk in the traces of Heroic City. The Warsaw Citadel, an impressive 19th-century fortification built after the defeat of the November Uprising, was a place of martyr for the Poles. Another important monument, the statue of Little Insurgent located at the ramparts of the Old Town, commemorates the children who served as messengers and frontline troops in the Warsaw Uprising, while the impressive Warsaw Uprising Monument by Wincenty Ku?ma was erected in memory of the largest insurrection of World War II.",What fortification was built in the 19th century after the defeat of the November Uprising?,The Warsaw Citadel,"{""answer"": ""Warsaw Citadel""}",0.9310542941093444
"Given a title, a context paragraph, and a question, provide the answer that can be directly inferred from the context. If the context does not contain a clear answer, output exactly No answer. Do not add any explanation, commentary, or additional text. Output only the answer.",Rhine,"Through stream capture, the Rhine extended its watershed southward. By the Pliocene period, the Rhine had captured streams down to the Vosges Mountains, including the Mosel, the Main and the Neckar. The northern Alps were then drained by the Rhone. By the early Pleistocene period, the Rhine had captured most of its current Alpine watershed from the Rhône, including the Aar. Since that time, the Rhine has added the watershed above Lake Constance (Vorderrhein, Hinterrhein, Alpenrhein; captured from the Rhône), the upper reaches of the Main, beyond Schweinfurt and the Vosges Mountains, captured from the Meuse, to its watershed.",How did the Rhine extend watershed southward?,stream capture,"{""answer"": ""Through stream capture.""}",0.6884095668792725
"Given a title, a context paragraph, and a question, provide the answer that can be directly inferred from the context. If the context does not contain a clear answer, output exactly No answer. Do not add any explanation, commentary, or additional text. Output only the answer.",Imperialism,"Imperialism is defined as ""A policy of extending a countrys power and influence through diplomacy or military force."" Imperialism is particularly focused on the control that one group, often a state power, has on another group of people. This is often through various forms of ""othering"" (see other) based on racial, religious, or cultural stereotypes. There are ""formal"" or ""informal"" imperialisms. ""Formal imperialism"" is defined as ""physical control or full-fledged colonial rule"". ""Informal imperialism"" is less direct; however, it is still a powerful form of dominance.",colonial rule would not be considered what type of imperialism?,No answer,"{""answer"": ""informal imperialism""}",0.1223606467247009
"Given a title, a context paragraph, and a question, provide the answer that can be directly inferred from the context. If the context does not contain a clear answer, output exactly No answer. Do not add any explanation, commentary, or additional text. Output only the answer.",Pharmacy,"In Japan, at the end of the Asuka period (538710) and the early Nara period (710794), the men who fulfilled roles similar to those of modern pharmacists were highly respected. The place of pharmacists in society was expressly defined in the Taih? Code (701) and re-stated in the Y?r? Code (718). Ranked positions in the pre-Heian Imperial court were established; and this organizational structure remained largely intact until the Meiji Restoration (1868). In this highly stable hierarchy, the pharmacistsand even pharmacist assistantswere assigned status superior to all others in health-related fields such as physicians and acupuncturists. In the Imperial household, the pharmacist was even ranked above the two personal physicians of the Emperor.",What put a hierarchical structure in place?,the pre-Heian Imperial court,"{""answer"": ""The Taih? Code (701) and the Y?r? Code (718) put the hierarchical structure in place.""}",0.1363934874534607
