prompt,Title,Description,Class Index,pred_answer,score
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",PALMER BREAKS TOUR DUCK IN STYLE,Ryan Palmer came from five shots behind with a magnificent 62 to earn his maiden PGA Tour tournament victory at the Funai Classic on Sunday.,2.0,"{""Class Index"": ""2""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Viet Nam deeply regrets Palestinian leader #39;s death,"Ha Noi, Nov. 11 (VNA) -  quot;We are deeply moved and grieved by the death of President Yasser Arafat, President of the Palestinian State and President of the Palestine Liberation Organisation, quot; Foreign Ministry spokesman Le Dung has said.",1.0,"{""Class Index"": ""1""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.","Swap Your PC, or Your President","The producer of ads featuring PC users who switched to Macs is applying the same tactic to political commercials. This time, he'll focus on former backers of President Bush, recruited online, who've changed their political allegiance. By Louise Witt.",4.0,"{""Class Index"": ""1""}",0.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",NEWS CORP. NET PROFIT SOARS 27,"News Corp. saw healthy gains in profit and revenue in the fiscal first quarter - helped by growth in advertising at the Fox News Channel and the Fox broadcast network, as ",3.0,"{""Class Index"": ""3""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",A Canadian Invasion,"A few weeks ago, in a story on Nortel (NYSE: NT), I asked people to submit a Canadian joke to me. This is as good a place as any to reveal the winner.",3.0,"{""Class Index"": ""3""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.","Car Bomb North of Baghdad Kills 7, Wounds 19 (Reuters)","Reuters - A car bomb exploded near a U.S.\military patrol in the town of Baiji, north of Baghdad, on\Tuesday, killing at least seven Iraqis and wounding 20 people,\including two U.S. soldiers, doctors and the military said.",1.0,"{""Class Index"": ""1""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.","Bay Bridge span faces re-bid, possible redesign","The eastern span of the Oakland-San Francisco Bay Bridge, currently under construction and over budget, will be re-bid, according to Sunne Wright McPeak, secretary of California #39;s Business, Transportation and Housing Agency, which oversees Caltrans, the ",3.0,"{""Class Index"": ""3""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Premier swallows Bird #39;s custard,"Bird #39;s custard and Angel Delight are back in British hands after a 70m deal announced yesterday. The famous brands have been bought by Premier Foods, owner of Ambrosia custard and Rowntrees jelly, from the US food group Kraft.",3.0,"{""Class Index"": ""3""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Woods joins Haas in TOUR Championship lead,"Tiger Woods was 2 years old when Jay Haas won his first golf tournament and 17 when he won his last. On Sunday, though, the two men will play together in the final group in the ",2.0,"{""Class Index"": ""2""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Opportunity Rings (Forbes.com),"Forbes.com - This past summer 25,000 consumers, aged 18 to 24, received short text messages on their cell phones alerting them to numbers on 225 million bottle caps of Snapple iced tea, pink lemonade and the like. People holding a winning number, announced by text message and traditional media, landed overseas trips and walk-on parts on TV shows.",4.0,"{""Class Index"": ""3""}",0.0
