prompt,title,context,question,answer,pred_answer,score
Answer the question.,Steam_engine,"The Rankine cycle and most practical steam engines have a water pump to recycle or top up the boiler water, so that they may be run continuously. Utility and industrial boilers commonly use multi-stage centrifugal pumps; however, other types are used. Another means of supplying lower-pressure boiler feed water is an injector, which uses a steam jet usually supplied from the boiler. Injectors became popular in the 1850s but are no longer widely used, except in applications such as steam locomotives.",What device is used to recycle the boiler water in most steam engines?,water pump,"{""answer"": ""In most steam‑engine systems the boiler water is returned to the boiler by a **water (feed‑water) pump** – typically a multi‑stage centrifugal pump that continuously recycles the condensate.""}",0.5091344118118286
Answer the question.,Warsaw,"There are also many places commemorating the heroic history of Warsaw. Pawiak, an infamous German Gestapo prison now occupied by a Mausoleum of Memory of Martyrdom and the museum, is only the beginning of a walk in the traces of Heroic City. The Warsaw Citadel, an impressive 19th-century fortification built after the defeat of the November Uprising, was a place of martyr for the Poles. Another important monument, the statue of Little Insurgent located at the ramparts of the Old Town, commemorates the children who served as messengers and frontline troops in the Warsaw Uprising, while the impressive Warsaw Uprising Monument by Wincenty Ku?ma was erected in memory of the largest insurrection of World War II.",What fortification was built in the 19th century after the defeat of the November Uprising?,The Warsaw Citadel,"{""answer"": ""The fortification is the **Warsaw Citadel**.""}",0.8392537832260132
Answer the question.,Warsaw,"As interesting examples of expositions the most notable are: the world's first Museum of Posters boasting one of the largest collections of art posters in the world, Museum of Hunting and Riding and the Railway Museum. From among Warsaw's 60 museums, the most prestigious ones are National Museum with a collection of works whose origin ranges in time from antiquity till the present epoch as well as one of the best collections of paintings in the country including some paintings from Adolf Hitler's private collection, and Museum of the Polish Army whose set portrays the history of arms.",What does the Museum of the Riding Army portray the history of?,No answer,"{""answer"": ""It portrays the history of **arms**.""}",0.047657087445259
Answer the question.,Pharmacy,"This shift has already commenced in some countries; for instance, pharmacists in Australia receive remuneration from the Australian Government for conducting comprehensive Home Medicines Reviews. In Canada, pharmacists in certain provinces have limited prescribing rights (as in Alberta and British Columbia) or are remunerated by their provincial government for expanded services such as medications reviews (Medschecks in Ontario). In the United Kingdom, pharmacists who undertake additional training are obtaining prescribing rights and this is because of pharmacy education. They are also being paid for by the government for medicine use reviews. In Scotland the pharmacist can write prescriptions for Scottish registered patients of their regular medications, for the majority of drugs, except for controlled drugs, when the patient is unable to see their doctor, as could happen if they are away from home or the doctor is unavailable. In the United States, pharmaceutical care or clinical pharmacy has had an evolving influence on the practice of pharmacy. Moreover, the Doctor of Pharmacy (Pharm. D.) degree is now required before entering practice and some pharmacists now complete one or two years of residency or fellowship training following graduation. In addition, consultant pharmacists, who traditionally operated primarily in nursing homes are now expanding into direct consultation with patients, under the banner of ""senior care pharmacy.""",Who can't pay Australian pharmacists for doing Home Medicines Reviews?,No answer,"{""answer"": ""Only the Australian Government pays pharmacists for Home Medicines Reviews – patients themselves can’t make those payments.""}",0.0182972997426986
Answer the question.,Islamism,"Another of the Egyptian groups which employed violence in their struggle for Islamic order was al-Gama'a al-Islamiyya (Islamic Group). Victims of their campaign against the Egyptian state in the 1990s included the head of the counter-terrorism police (Major General Raouf Khayrat), a parliamentary speaker (Rifaat al-Mahgoub), dozens of European tourists and Egyptian bystanders, and over 100 Egyptian police. Ultimately the campaign to overthrow the government was unsuccessful, and the major jihadi group, Jamaa Islamiya (or al-Gama'a al-Islamiyya), renounced violence in 2003. Other lesser known groups include the Islamic Liberation Party, Salvation from Hell and Takfir wal-Hijra, and these groups have variously been involved in activities such as attempted assassinations of political figures, arson of video shops and attempted takeovers of government buildings.",Over 100 Egyptian police were victims of what group's campaign of terror?,al-Gama'a al-Islamiyya,"{""answer"": ""The victims were targeted by the campaign of the Islamic Group **al‑Gama'a al‑Islamiyya**.""}",0.5144995450973511
Answer the question.,Geology,"In the 1960s, a series of discoveries, the most important of which was seafloor spreading, showed that the Earth's lithosphere, which includes the crust and rigid uppermost portion of the upper mantle, is separated into a number of tectonic plates that move across the plastically deforming, solid, upper mantle, which is called the asthenosphere. There is an intimate coupling between the movement of the plates on the surface and the convection of the mantle: oceanic plate motions and mantle convection currents always move in the same direction, because the oceanic lithosphere is the rigid upper thermal boundary layer of the convecting mantle. This coupling between rigid plates moving on the surface of the Earth and the convecting mantle is called plate tectonics.",What are the lithosphere and asthenosphere called when coupled together?,No answer,"{""answer"": ""The rigid lithosphere (crust + upper‑mantle) resting on the underlying, plastic asthenosphere behaves as a single physical entity that moves across the convecting mantle.  When these two layers are coupled in this way they are called **tectonic plates** – the plates that constitute the plate‑tectonic system.""}",-0.0238009467720985
Answer the question.,Warsaw,"The first fortified settlements on the site of today's Warsaw were located in Bródno (9th/10th century) and Jazdów (12th/13th century). After Jazdów was raided by nearby clans and dukes, a new similar settlement was established on the site of a small fishing village called Warszowa. The Prince of P?ock, Boles?aw II of Masovia, established this settlement, the modern-day Warsaw, in about 1300. In the beginning of the 14th century it became one of the seats of the Dukes of Masovia, becoming the official capital of Masovian Duchy in 1413. 14th-century Warsaw's economy rested on mostly crafts and trade. Upon the extinction of the local ducal line, the duchy was reincorporated into the Polish Crown in 1526.",Who was Boleslaw II of Masovia?,The Prince of P?ock,"{""answer"": ""**Bolesław II of Masovia (c. 1284 – 1341)**  \n- **Dynasty & Lineage:** A member of the Polish Piast dynasty, son of Duke Konrad I of Masovia and Płock.  \n- **Rule:** Reigned as Duke of Masovia from 1304 until his death, governing the Płock‑based duchy and its successor territories.  \n- **Reputation:** Often called “Bolesław the Pious” for his strong support of the Church and religious institutions.  \n- **Key Achievements:**  \n  - Founded the fortified settlement that became Warsaw around 1310, establishing it as a political and economic center.  \n  - Expanded and fortified Masovian holdings, promoted trade and craftsmanship, and reinforced the duchy’s autonomous status within the Polish realm.  \n- **Legacy:** His reign marked the rise of Warsaw as a significant city, and his patronage laid the foundations for the region’s later integration into the Crown of Poland.""}",0.315445989370346
Answer the question.,Imperialism,"Imperialism is defined as ""A policy of extending a countrys power and influence through diplomacy or military force."" Imperialism is particularly focused on the control that one group, often a state power, has on another group of people. This is often through various forms of ""othering"" (see other) based on racial, religious, or cultural stereotypes. There are ""formal"" or ""informal"" imperialisms. ""Formal imperialism"" is defined as ""physical control or full-fledged colonial rule"". ""Informal imperialism"" is less direct; however, it is still a powerful form of dominance.",colonial rule would not be considered what type of imperialism?,No answer,"{""answer"": ""Colonial rule is a form of **formal imperialism**.  \nTherefore, it would **not** be considered **informal imperialism**.""}",-0.0349325016140937
Answer the question.,Pharmacy,"In Japan, at the end of the Asuka period (538710) and the early Nara period (710794), the men who fulfilled roles similar to those of modern pharmacists were highly respected. The place of pharmacists in society was expressly defined in the Taih? Code (701) and re-stated in the Y?r? Code (718). Ranked positions in the pre-Heian Imperial court were established; and this organizational structure remained largely intact until the Meiji Restoration (1868). In this highly stable hierarchy, the pharmacistsand even pharmacist assistantswere assigned status superior to all others in health-related fields such as physicians and acupuncturists. In the Imperial household, the pharmacist was even ranked above the two personal physicians of the Emperor.",What put a hierarchical structure in place?,the pre-Heian Imperial court,"{""answer"": ""The hierarchical structure was established by the legal codes of the time – first the Taihō Code in 701 and then reaffirmed in the Yōrō Code of 718, which set out the ranking of pharmacists (and their assistants) at the top of the health‑service hierarchy.""}",0.1879177093505859
Answer the question.,Civil_disobedience,"Some theories of civil disobedience hold that civil disobedience is only justified against governmental entities. Brownlee argues that disobedience in opposition to the decisions of non-governmental agencies such as trade unions, banks, and private universities can be justified if it reflects ""a larger challenge to the legal system that permits those decisions to be taken"". The same principle, she argues, applies to breaches of law in protest against international organizations and foreign governments.",Some theories argue that civil disobedience is justified in regard to?,governmental entities,"{""answer"": ""Some theories argue that civil disobedience is justified **against governmental entities**.""}",0.3318612575531006
