document,summary
"Laser mapping will be used to measure the impact of extreme weather on six Welsh islands in the Irish sea. The aircraft beams will assess the effect of rising sea levels and storms on locations, including Bardsey and Ramsey islands. The mapping will also create ""stunning"" animations as part of the first 3D data for many of the islands. Led by the Royal Commission of the Ancient and Historical Monuments of Wales, the five-year project will assess the damage done to archaeology and heritage sites by coastal erosion. ""This is an exciting new project, bringing a strong partnership of archaeologists, geoscientists and maritime specialists to bear on the significant challenges posed by climate change,"" said commission secretary Christopher Catling.","Animation showing the threat of climate change is on the horizon, thanks to new 3D laser mapping."
"The ticket for the Grosvenor in Norwich was bought for seven shillings and sixpence and signed at the gig by John Lennon and Ringo Starr. It also states the band were supported at the now defunct venue on Prince of Wales Road by local band Ricky Lee and the Hucklebucks. The ticket is being auctioned by Bonhams on 3 July. At the time of the gig The Beatles were celebrating their first number one single From Me To You, which stayed at the top of the British singles chart for seven weeks. Bonhams said if the ticket also contained the signatures of Paul McCartney and George Harrison, it would have been worth nearer £4,000.","A signed Beatles ticket from a concert in Norfolk in 1963 is expected to fetch up to £2,000 at auction in London."
"Former civil servant Sir John Chilcot will appear before MPs on the Commons Liaison Committee on 18 October. The report, which took seven years to complete, criticised Tony Blair and his government's case for going to war in 2003. Mr Blair defended his actions, saying military action had been justified. The Chilcot Inquiry, which began its work in 2009, after UK troops left Iraq, did not attempt to reach a verdict on the legality or otherwise of the military action. Mr Blair has continued to insist the decision to remove Saddam Hussein was justified, although he has acknowledged that the intelligence on which it was based was flawed. Appearing before a separate committee of MPs last month, Cabinet Secretary Sir Jeremy Heyward said he and other civil servants were in the ""preliminary"" phase of learning lessons from the report in terms of how government should operate in future. He said he was frustrated at the length of time the inquiry had taken but believed that it could not have been expedited without changing the large terms of reference or restricting access to vital declassified documents and other material. The liaison committee, made up of the chairs of individual parliamentary committees, is best known for questioning the prime minister of the day two or three times a year.",MPs will question the chairman of the Iraq War Inquiry later this month for the first time since it published its official report in July.
"They include a new water sports park, railway station and a sliproad from the M77. The City Deal scheme will see eight council areas around Glasgow receive about £1bn from the UK and Scottish governments. The councils also have the power to borrow extra cash. The Glasgow and Clyde Valley City Deal involved massive investment by both the Scottish and UK governments last year. Eight councils - Glasgow, East Renfrewshire, Renfrewshire, Inverclyde, North and South Lanarkshire and East and West Dunbartonshire - are involved. The City Deal scheme will see Westminster and Holyrood give £500m each in additional grant funding to the eight council areas. The councils will supplement this by borrowing £130m. Councillors from across all eight areas will meet to discuss some of the schemes. Several of the projects being discussed later are in East Renfrewshire, where £44m is expected to be invested over the next few years, with much of the money coming from the City Deal funding. One is a water sports park at the Dams to Darnley Country Park. It would open in 2017 and include a centre offering wakeboarding, the fastest-growing extreme sport in the world. A new railway station in Barrhead and sliproad from the M77 would serve an area which could become one of East Renfrewshire's fastest growth areas. The council expects 1,000 new homes to be built there. Another project would transform the Levern Works site in Barrhead. A site formerly occupied by Nestle, where pet food was once made, would be cleared. The site will then be marketed for development for a range of uses that will bring new jobs to Barrhead. A wide range of other infrastructure projects across the eight council areas will also be discussed.",Some of the first projects to be funded by the City Deal programme for the west of Scotland are to be discussed by councillors.
"The ""bemusement park"" at a derelict seaside lido in Weston-super-Mare attracted thousands of visitors when it opened last summer. Other awards nominees include electronica band Years and Years and the BBC Two adaptation of Wolf Hall. The winners will be announced at a ceremony, hosted by Lord Melvyn Bragg, at London's Savoy Hotel on 5 June. Now celebrating their 20th anniversary, the awards honour ""the very best of British culture and achievement"". Banksy competes in the visual art category against Cornelia Parker for Magna Carta (An Embroidery) at The British Library and Lynette Yiadom-Boakye: Verses After Dusk at the Serpentine Gallery. Historical drama Wolf Hall is joined in the TV drama category alongside Channel 4's Humans and Doctor Foster (BBC One). In the pop category, Benjamin Clementine, Years and Years, and Sleaford Mods go head to head. The film category features Ex Machina, 45 Years and Brooklyn, while the theatre contenders are Oresteia, People, Places and Things and Hangmen. Lord Bragg said the South Bank Sky Arts Awards were a ""freeze-frame on a unique moment in British cultural history"". He added: ""This is the 20th of these annual awards and a ripple through the records shows an extraordinary tapestry of talent, ever-changing but always the same in its high quality."" 2016 FULL LIST OF NOMINEES",Elusive artist Banksy has landed a South Bank Sky Arts Award nomination for his Dismaland theme park.
"John Lamont quit the Ettrick, Roxburgh and Berwickshire constituency seat to fight for a place at Westminster, hoping to unseat the SNP's Calum Kerr. The Conservative MSP formally resigned from the seat as of 13:00 on Thursday. The by-election means residents in the area will vote on their local council, their Holyrood representative and their MP all inside five weeks. Selection procedures for the Holyrood by-election have yet to get under way. Presiding Officer Ken Macintosh has written to Tracey Logan, chief executive of Scottish Borders Council and returning officer for the elections, to confirm his choice of date and to ask for arrangements for the by-election to be put in place. Mr Lamont is seeking to unseat the SNP's Calum Kerr in Berwickshire, Roxburgh and Selkirk, Scotland's most marginal Westminster constituency. Mr Kerr gained the seat from Lib Dem former Scottish Secretary Michael Moore in 2015 by a margin of 328 votes. The Lib Dems have put forward Catriona Bhatia, currently deputy leader of the council, as their candidate for the Westminster poll.",A Holyrood by-election is to be held on the same day as the UK's snap general election on 8 June.
"The Canaries, who won thanks to Jonny Howson's goal, are second in the Championship with two wins from three. ""The first 10 minutes were quite even but after that we were in control of the game. We hit the woodwork a few times,"" Neil told BBC Radio Norfolk. ""If our passing in the final third was a bit slicker we would have had more chances. I think we deserved to win."" Neil continued: ""I can't really remember too many opportunities for them to score, if any. ""The first goal is crucial because it mucks up their gameplan because they need to come out and leaves us more space to go and exploit."" Norwich were relegated from the Premier League last season with 67 goals conceded, the joint-second-most in the division. But they have kept clean sheets in their last two home games, and Neil said: ""That's going to be key going forward. ""(A lack of clean sheets) was a criticism of us last season and something we want to try to fix. In the last two games it's been better.""","Norwich boss Alex Neil was pleased with his side's ""control"" during their 1-0 victory over Bristol City on Tuesday."
"The 18-year-old identical twins have come through the club's academy to impress in nine Premiership appearances between them this season. Both play in the back row and have also featured for the England Under-20 side. ""They will play key parts in the club's vision of developing players in the academy, and bringing them through to the first team,"" Sale director of rugby Steve Diamond said. The pair became only the fourth set of twins to play side-by-side in the Premiership when they appeared in Sale's 34-24 defeat by Wasps on 27 November. Tom is also the Sharks' youngest Premiership try scorer after crossing on his debut in the 31-13 win over Bristol on 30 October.",Brothers Ben and Tom Curry have signed five-year contracts with Sale Sharks.
"The boy identified as Che Labastide-Wellington, from Harrow, was at a party in Belvedere Way, Kenton, on Saturday evening. Police said there had been a fight with a group of youths who tried to gain entry, Che was stabbed in a later scuffle in an alleyway at about 00:30 GMT. He was pronounced dead about an hour later. More on this story and news from London A 16-year-old boy was also stabbed and taken to a north London hospital for treatment. His remains in a stable condition, said police. They said Che had been invited to the party, which appeared to be ""a well-run event with appropriate adults in attendance"". They believed he was not involved in an early altercation with a group of youths denied entry to the party. But he appeared to have been targeted later, a spokesman said. Det Chief Insp Chris Jones said he wanted to speak to anyone who was near the alleyway between Belvedere Way and Tylers Gate when Che was stabbed. A man aged 21 has been arrested on suspicion of murder and taken to a west London police station for questioning. Two boys aged 15 and 16 were also arrested on suspicion of murder and bailed until mid-December. A third, aged 14, is being held on suspicion of possession of an offensive weapon.","A 17-year-old boy who was fatally stabbed in north-west London was at a 16th birthday party targeted by gatecrashers, police say."
"Cunningham, 40, left his role with Saints in April and will work alongside head coach Neil Jukes at Leigh. Owner Derek Beaumont has relinquished the head of rugby position because of his business commitments. Leigh have won one and lost one of their two fixtures in the Qualifiers, after finishing 11th in Super League. The Centurions have five games left this term to secure their Super League status for next season. Beaumont said: ""Keiron has substantially more experience than myself and I feel his appointment will bring in someone with a fresh pair of eyes and a different approach, as well as a different voice around the place to freshen things up. ""I still have the utmost confidence in Neil Jukes and my coaching team and their ability to achieve our goals, which I believe will be increased by Keiron's presence."" Cunningham, a former St Helens, Wales and Great Britain hooker, added: ""I have not come in to take anyone's place, but to add my knowledge and experience at this stage of the season. I get on well with Neil and he is a good friend. ""Derek has brought me in to ease the burden on Neil and bring my experience to Leigh. Hopefully I will bring a new set of eyes and structures and I'm delighted to have been given this opportunity.""",Former St Helens head coach Keiron Cunningham has been appointed head of rugby at Leigh Centurions for the rest of the 2017 season.
