Class Index,Title,Description
1,China Declares Taiwan Proposal a Fraud,"The Chinese government declared Wednesday that a conciliatory proposal made Sunday by President Chen Shui-bian of Taiwan was fraudulent, intended only to fool Taiwanese voters and international opinion."
4,ARM's new Cortex cores deliver big punch in small chip,"SANTA CLARA, CALIFORNIA - Chip designer Arm Ltd.'s new Cortex family of processor cores will help designers of mobile and embedded devices build powerful systems that use less memory, the company said Tuesday at its developer conference."
1,Death jolts Indonesian rights activists,Indonesian rights campaigners have had their worst fears confirmed with the news the country #39;s best-known activist was apparently a victim of arsenic poisoning.
4,Study finds amphibian population declining rapidly,"Australian scientists once marveled at an unusual frog that could turn off its gastric juices and brood its young in its stomach. But by 1981, the Southern gastric-brooding frog had completely disappeared."
3,"Nextel, Sprint in advanced merger talks","Nextel is reportedly in advanced merger talks with Sprint, a deal that would form the third largest US cell phone company. However, there were indications a third player, Verizon Wireless, might make a run "
3,Russia #39;s Yukos oil giant still faces tax woes,MOSCOW : Russia #39;s justice ministry said that Yukos had paid three-quarters of its 2000 tax bill but still had billions more in outstanding debts that analysts said would require sales of its assets.
2,Johnson trade is given OK,"Randy Johnson is practically ready to be measured for one tall set of pinstripes. Commissioner Bud Selig gave his blessing yesterday to a trade that will send Johnson to the Yankees, making a contract extension the last major obstacle could be resolved in the protracted Arizona-New York swap."
2,Singh Wins Playoff to Seize Third Major Title," KOHLER, Wis. (Reuters) - Fiji's Vijay Singh held his  composure to win the 86th U.S. PGA Championship in a three-way  playoff on Sunday, clinching the third major title of his  career."
1,UK to Send Troops Into US-Controlled Area of Iraq (Update1),"UK Prime Minister Tony Blair #39;s government, risking criticism from lawmakers in the ruling Labour Party, said it will redeploy 850 troops now in southern Iraq to a region controlled by US forces."
2,Julio Appeals Suspension for Near Beaning (AP),AP - Orioles pitcher Jorge Julio received a four-game suspension from Major League Baseball on Friday for throwing a pitch that nearly hit Minnesota's Augie Ojeda in the head.
4,Hitachi to release 100GB hard drives for notebooks,Hitachi announced it would be shipping 2.5in hard drives with capacities up to 100GB for notebook computers by the end of 2004. The Travelstar 5K100 and E5K100 hard drives 
1,Pakistan Parliament Elects Prime Minister (AP),"AP - Pakistan's parliament elected former finance minister Shaukat Aziz, a close ally of President Gen. Pervez Musharraf, as prime minister on Friday after the opposition boycotted the vote, saying it was undemocratic."
1,"House Approves Drought, Hurricane Aid (AP)",AP - The House on Saturday unanimously approved  #36;14.5 billion for hurricane victims and struggling farmers as Congress moved a step closer to showering money on Florida and other pivotal states in the upcoming elections.
4,Nokia claws back market share by cutting back prices,"Stockholm - Nokia, the world #39;s biggest cellphone maker, took market share in the second quarter by cutting prices and introducing new models, rebounding from its lowest level since 1999, market researcher Gartner said yesterday."
4,Panel: Robot Won #39;t Save Hubble,"NASA #39;s plan to send a robot into space to repair the ailing Hubble Space Telescope is unlikely to succeed, according to a new report from the National Academy of Sciences."
3,Fiat #39;s Overall Loss Widens,"Fiat SpA #39;s overall net loss widened in the third quarter, and the company #39;s key auto unit slightly narrowed its losses, the Italian automaker said Thursday."
4,Microsoft Unveils News Version of MSN TV,"Microsoft Corp. introduced on Tuesday a new version of its Internet TV service, seeking to broaden its appeal beyond a relatively small base of older, computer-phobic users."
2,Glazer - has yet to reveal his hand (Getty Images),Manchester United are not likely to find out if Malcolm Glazer intends to launch a takeover bid until next week at the earliest. The American business tycoon is widely believed to be pondering a bid for the 
2,"AHL's IceCats will be leaving Worcester for Peoria, Ill.","St. Louis Blues president Mark Sauer said the team will sell its American Hockey League Worcester IceCats to Bruce Saurs and Anne Griffith of Peoria, Ill., and move the team to Peoria for the 2005-06 season. The team will continue to operate as the Blues' AHL affiliate and be renamed the Rivermen. The sale and relocation are subject to approval ..."
3,YUKOS Seeks U.S. Bankruptcy to Stop Moscow," MOSCOW (Reuters) - Russian oil group YUKOS has filed for  bankruptcy protection in a U.S. court in an attempt to stop the  Russian government from auctioning off its main production unit  on Dec. 19, it said on Wednesday."
2,Rockies dump vice chairman McMorris,"The Colorado Rockies dumped vice chairman Jerry McMorris on Tuesday, ending a relationship with one of the team #39;s founding figures."
1,Arafat in intensive care,"Yasser Arafat #39;s condition has suddenly worsened and he is in intensive care undergoing a new round of tests, Palestinian officials in France said today."
2,Hurricanes looking for defensive improvement,"Pass pressure has been poor, tackling sloppy and the intensity of earlier this season absent. Players appear tentative, confused and surprisingly ordinary."
2,Vols #39; power set the stage,"Since debuting so successfully in the opener two weeks ago, true freshman quarterbacks Brent Schaeffer and Erik Ainge have been the talk of Tennessee football."
4,Zafi.D virus: Christmas wishes and a computer virus!,Please be aware as there #39;s a new virus worm spreading on the net. The Zafi.D variant is a Christmas wish e-mail together with a .
3,Mercedes Dulls DaimlerChrysler's Profit, FRANKFURT (Reuters) - An earnings stumble at  DaimlerChrysler's Mercedes flagship tarnished higher profits at  the world's fifth-biggest automaker on Thursday and stoked  questions about the loss-making Smart compact's future.
4,BEA adds app server support to Beehive,BEA Systems at the ApacheCon conference in Las Vegas on Monday is adding the Jonas and Geronimo application servers as platforms supporting the Project Beehive open source development initiative.
1,Iran Says U.N. Nuclear Ban 'Illegal' (AP),"AP - Iran said Sunday that demands from the U.N. atomic watchdog agency that it freeze all work on uranium enrichment  #151; technology that can be used for nuclear weapons  #151; were ""illegal."""
3,Why Do You Invest?,"Investing without a plan is like becoming a vegetarian because you have a garden. So, why do you invest?"
3,Oil Reserves Drop for 1st Time in 5 Years," WASHINGTON (Reuters) - U.S. proven crude oil reserves fell  last year for the first time in five years, as energy companies  replaced just over half the oil they took out of the ground,  the U.S. government said on Wednesday."
